                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1375,                 9.7011,                 2.6223,                0.43224,                0.26667,                0.19952,                0.11134,                 1.5324,                 11.831,                 1.6101,                  8e-05,                  8e-05,                  8e-05
                      2,                 2.1682,                 4.8572,                 1.7057,                0.38855,                0.33333,                0.29392,                0.06002,                 1.6823,                 9.9156,                 1.4767,             0.00017881,             0.00017881,             0.00017881
                      3,                 2.0146,                 3.5632,                  1.349,                0.60873,                    0.8,                0.77421,                0.30756,                 1.6401,                 6.0196,                 1.3033,              0.0002763,              0.0002763,              0.0002763
                      4,                 1.8333,                 2.2014,                  1.249,                0.14211,                0.66667,                0.14644,                0.05318,                 1.9216,                 11.784,                 1.4784,             0.00037248,             0.00037248,             0.00037248
                      5,                 1.8833,                 1.9215,                 1.2957,                0.16307,                0.46667,                0.41536,                0.20272,                 1.8689,                 14.001,                 1.5595,             0.00046733,             0.00046733,             0.00046733
                      6,                 1.8447,                 1.5386,                 1.1934,                0.06152,                0.93333,                0.06147,                0.02494,                 2.1613,                 13.052,                 1.8565,             0.00056086,             0.00056086,             0.00056086
                      7,                 1.7983,                 1.5234,                 1.2738,                0.09652,                0.93333,                0.09596,                0.03655,                 1.7934,                 73.242,                 1.6311,             0.00065307,             0.00065307,             0.00065307
                      8,                 1.8562,                 1.4018,                 1.3599,                 0.2968,                0.73333,                0.28789,                0.12055,                 1.9323,                 3.4198,                 1.7506,             0.00074396,             0.00074396,             0.00074396
                      9,                 1.8653,                 1.5474,                 1.3806,                0.04895,                      1,                0.04942,                0.02562,                 1.6544,                 66.149,                 1.4844,             0.00083354,             0.00083354,             0.00083354
                     10,                  1.877,                 1.4013,                 1.3867,                0.64773,                0.86667,                0.88347,                0.28436,                 1.9194,                 5.0201,                 1.8659,             0.00092179,             0.00092179,             0.00092179
                     11,                 1.8164,                 1.5739,                 1.3995,                 0.8076,                0.84054,                0.90144,                0.45124,                 1.6953,                 2.3862,                 1.6234,              0.0010087,              0.0010087,              0.0010087
                     12,                 1.7082,                 1.3123,                 1.3173,                 0.8463,                0.86667,                0.86982,                0.39736,                 1.8249,                 2.4099,                 1.7587,              0.0010943,              0.0010943,              0.0010943
                     13,                 1.8035,                  1.184,                 1.3471,                0.91343,                0.86667,                0.90527,                0.47228,                  1.723,                 2.1215,                 1.5702,              0.0011786,              0.0011786,              0.0011786
                     14,                 1.9258,                 1.3764,                 1.4557,                0.71175,                0.82393,                0.83685,                 0.3894,                 1.6806,                 1.7866,                 1.6569,              0.0012616,              0.0012616,              0.0012616
                     15,                 1.9665,                 1.2618,                 1.5099,                0.70327,                0.79051,                0.70197,                0.29171,                 2.0081,                 3.4299,                 1.7532,              0.0013432,              0.0013432,              0.0013432
                     16,                 1.7874,                 1.1078,                 1.4026,                0.53997,                0.66667,                0.59916,                0.23457,                 1.9089,                 3.3817,                 1.6936,              0.0014236,              0.0014236,              0.0014236
                     17,                 1.8559,                 1.2096,                  1.427,                0.76933,                0.93333,                0.90474,                0.54738,                 1.4583,                 2.4989,                 1.4735,              0.0015026,              0.0015026,              0.0015026
                     18,                  1.907,                 1.1068,                 1.4958,                 0.9317,                0.66667,                0.88308,                0.48643,                 1.5361,                 3.3728,                 1.5865,              0.0015803,              0.0015803,              0.0015803
                     19,                 1.8381,                 1.1467,                 1.4106,                0.86651,                0.86559,                0.90709,                0.40849,                 1.7148,                 5.1926,                 1.6676,              0.0016567,              0.0016567,              0.0016567
                     20,                 2.0798,                 1.3771,                 1.5183,                0.82495,                0.62979,                0.81667,                 0.4246,                 1.8061,                 1.8524,                 1.5702,              0.0017317,              0.0017317,              0.0017317
                     21,                 1.9671,                 1.5355,                 1.4405,                 0.6893,                0.93333,                0.79604,                0.36524,                 1.6407,                 2.5882,                 1.6533,               0.001736,               0.001736,               0.001736
                     22,                  1.769,                 1.4016,                 1.3209,                0.58816,                0.57237,                0.59225,                0.25877,                  1.683,                 3.6331,                 1.7777,               0.001736,               0.001736,               0.001736
                     23,                 1.8853,                 1.3413,                 1.4991,                0.23888,                    0.4,                0.32081,                0.13639,                 1.8999,                 8.3283,                 2.2368,              0.0017228,              0.0017228,              0.0017228
                     24,                 1.7972,                 1.2286,                 1.4741,                0.66256,                0.78603,                0.80643,                0.41451,                  1.679,                 1.6426,                 2.0215,              0.0017096,              0.0017096,              0.0017096
                     25,                 1.8866,                 1.1614,                 1.5151,                 0.8511,                    0.8,                0.86005,                0.41625,                 1.8139,                 2.0726,                 2.0688,              0.0016964,              0.0016964,              0.0016964
                     26,                 1.8316,                 1.2454,                 1.5329,                0.65942,                    0.8,                0.74982,                0.35781,                  1.718,                 1.5543,                 1.8748,              0.0016832,              0.0016832,              0.0016832
                     27,                 1.9503,                 1.3191,                 1.5196,                0.76705,                0.66667,                0.68766,                0.31633,                  1.803,                 1.7883,                 1.8761,                0.00167,                0.00167,                0.00167
                     28,                 1.6942,                 1.2328,                 1.3939,                0.90295,                    0.8,                0.84654,                0.33322,                 1.8028,                 3.6814,                  1.791,              0.0016568,              0.0016568,              0.0016568
                     29,                 1.6052,                 1.1239,                 1.3135,                0.73698,                    0.8,                0.79013,                0.38413,                 1.7002,                 2.0165,                 1.7551,              0.0016436,              0.0016436,              0.0016436
                     30,                 1.7025,                 1.1098,                 1.3571,                0.86471,                0.73333,                0.87734,                0.40464,                  1.682,                 1.6249,                 1.6771,              0.0016304,              0.0016304,              0.0016304
